DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_
"ACUÑA DE FIGUEROA, FRANCISCO 1000","26","87000","5481000","3346","3346","5",SI,"63",PRIMER,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FRANCISCO 400","34","92000","5796000","2706","2706","45",NO,"63",PRIMER,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FRANCISCO 900","60","110000","6930000","1833","1833","0",NO,"63",PRIMER,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FRANCISCO 909","29","60000","3780000","2069","2069","40",NO,"63",PRIMER,ALMAGRO,"5"
BELGRANO 3800,"334","380000","23940000","1138","1138","65",NO,"63",PRIMER,ALMAGRO,"5"
BILLINGHURST 100,"212","270000","17010000","1274","1274","45",NO,"63",PRIMER,ALMAGRO,"5"
BILLINGHURST 900,"114","350000","22050000","3070","3070","5",NO,"63",PRIMER,ALMAGRO,"5"
BOEDO 700,"13","35000","2205000","2692","2692","40",NO,"63",PRIMER,ALMAGRO,"5"
"BRAVO, MARIO 600","42","90000","5670000","2143","2143","40",NO,"63",PRIMER,ALMAGRO,"5"
"BRAVO, MARIO 800","94","190000","11970000","2021","2021","55",NO,"63",PRIMER,ALMAGRO,"5"
"BRAVO, MARIO 800","34","87000","5481000","2559","2559","35",NO,"63",PRIMER,ALMAGRO,"5"
"BRAVO, MARIO 900","95","170000","10710000","1789","1789","50",NO,"63",PRIMER,ALMAGRO,"5"
"BRAVO, MARIO 900","40","145000","9135000","3625","3625","25",NO,"63",PRIMER,ALMAGRO,"5"
BULNES 100,"47","78000","4914000","1660","1660","0",NO,"63",PRIMER,ALMAGRO,"5"
BULNES 1200,"320","425000","26775000","1328","1328","90",NO,"63",PRIMER,ALMAGRO,"5"
BULNES 200,"62","165000","10395000","2661","2661","0",NO,"63",PRIMER,ALMAGRO,"5"
BULNES 300,"111","180000","11340000","1622","1622","1",NO,"63",PRIMER,ALMAGRO,"5"
"CASTRO, BARROS 100","68","155000","9765000","2279","2279","0",NO,"63",PRIMER,ALMAGRO,"5"
COLOMBRES 100,"25","75000","4725000","3000","3000","40",NO,"63",PRIMER,ALMAGRO,"5"
COLOMBRES 185,"72","129000","8127000","1792","1792","45",NO,"63",PRIMER,ALMAGRO,"5"
CORDOBA 3900,"250","860000","54180000","3440","3440","5",NO,"63",PRIMER,ALMAGRO,"5"
CORRIENTES 3600,"2000","1290000","81270000","645","645","88",NO,"63",PRIMER,ALMAGRO,"5"
CORRIENTES 3987,"8","25000","1575000","3125","3125","35",NO,"63",PRIMER,ALMAGRO,"5"
CORRIENTES 4200,"560","1200000","75600000","2143","2143","0",NO,"63",PRIMER,ALMAGRO,"5"
CORRIENTES 4500,"109","218000","13734000","2000","2000","0",NO,"63",PRIMER,ALMAGRO,"5"
DIAZ VELEZ 3600,"29","84000","5292000","2897","2897","50",NO,"63",PRIMER,ALMAGRO,"5"
DIAZ VELEZ 3700,"18","69000","4347000","3833","3833","40",NO,"63",PRIMER,ALMAGRO,"5"
DIAZ VELEZ 3793,"55","145000","9135000","2636","2636","27",NO,"63",PRIMER,ALMAGRO,"5"
DIAZ VELEZ 4320,"50","150000","9450000","3000","3000","26",NO,"63",PRIMER,ALMAGRO,"5"
DON BOSCO 3800,"1160","950000","59850000","819","819","0",NO,"63",PRIMER,ALMAGRO,"5"
GALLO 400,"102","200000","12600000","1961","1961","20",NO,"63",PRIMER,ALMAGRO,"5"
GASCON 200,"684","1450000","91350000","2120","2120","40",NO,"63",PRIMER,ALMAGRO,"5"
GUARDIA VIEJA 4600,"95","485000","30555000","5105","5105","0",NO,"63",PRIMER,ALMAGRO,"5"
HUMAHUACA 3700,"60","170000","10710000","2833","2833","0",NO,"63",PRIMER,ALMAGRO,"5"
HUMAHUACA 4200,"18","54000","3402000","3000","3000","50",NO,"63",PRIMER,ALMAGRO,"5"
LAVALLE 3400,"478","750000","47250000","1569","1569","0",NO,"63",PRIMER,ALMAGRO,"5"
LAVALLE 3500,"224","620000","39060000","2768","2768","0",NO,"63",PRIMER,ALMAGRO,"5"
LAVALLE 3900,"59","125000","7875000","2119","2119","50",NO,"63",PRIMER,ALMAGRO,"5"
LEZICA 4100,"77","83000","5229000","1078","1078","40",NO,"63",PRIMER,ALMAGRO,"5"
LEZICA 4300,"32","95000","5985000","2969","2969","0",NO,"63",PRIMER,ALMAGRO,"5"
LEZICA 4300,"32","100000","6300000","3125","3125","11",NO,"63",PRIMER,ALMAGRO,"5"
"MARMOL, JOSE 100","27","84000","5292000","3111","3111","0",NO,"63",PRIMER,ALMAGRO,"5"
"MARMOL, JOSE 159","104","115000","7245000","1106","1106","44",NO,"63",PRIMER,ALMAGRO,"5"
MAZA 200,"24","49000","3087000","2042","2042","10",NO,"63",PRIMER,ALMAGRO,"5"
MAZA 30,"253","550000","34650000","2174","2174","0",NO,"63",PRIMER,ALMAGRO,"5"
MAZA 800,"145","220000","13860000","1517","1517","45",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 100,"54","185000","11655000","3426","3426","25",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 369,"69","84500","5323500","1225","1225","50",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 400,"391","630000","39690000","1611","1611","90",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 500,"180","440000","27720000","2444","2444","45",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 600,"337","295000","18585000","875","875","51",NO,"63",PRIMER,ALMAGRO,"5"
MEDRANO 900,"168","499000","31437000","2970","2970","0",NO,"63",PRIMER,ALMAGRO,"5"
"MITRE, BARTOLOME 3400","115","155000","9765000","1348","1348","0",NO,"63",PRIMER,ALMAGRO,"5"
"MITRE, BARTOLOME 4130","61","75000","4725000","1230","1230","0",NO,"63",PRIMER,ALMAGRO,"5"
MORENO 3600,"32","66000","4158000","2062","2062","40",NO,"63",PRIMER,ALMAGRO,"5"
MUÑIZ 400,"80","130000","8190000","1625","1625","50",NO,"63",PRIMER,ALMAGRO,"5"
POTOSI 3800,"20","85000","5355000","4250","4250","0",NO,"63",PRIMER,ALMAGRO,"5"
PRINGLES 1193,"70","105000","6615000","1500","1500","40",NO,"63",PRIMER,ALMAGRO,"5"
PRINGLES 600,"36","120000","7560000","3333","3333","0",NO,"63",PRIMER,ALMAGRO,"5"
PRINGLES 600,"35","120000","7560000","3429","3429","0",NO,"63",PRIMER,ALMAGRO,"5"
PRINGLES 700,"70","105000","6615000","1500","1500","45",NO,"63",PRIMER,ALMAGRO,"5"
PRINGLES 900,"20","72000","4536000","3600","3600","40",NO,"63",PRIMER,ALMAGRO,"5"
RIVADAVIA 3500,"130","209000","13167000","1608","1608","35",NO,"63",PRIMER,ALMAGRO,"5"
RIVADAVIA 3647,"48","400000","25200000","8333","8333","0",NO,"63",PRIMER,ALMAGRO,"5"
RIVADAVIA 3900,"55","380000","23940000","6909","6909","30",NO,"63",PRIMER,ALMAGRO,"5"
RIVADAVIA 4003,"73","400000","25200000","5479","5479","0",NO,"63",PRIMER,ALMAGRO,"5"
RIVADAVIA 4200,"90","175000","11025000","1944","1944","0",NO,"63",PRIMER,ALMAGRO,"5"
"SALGUERO, JERONIMO 300","289","280000","17640000","969","969","40",NO,"63",PRIMER,ALMAGRO,"5"
"SALGUERO, JERONIMO 800","155","245000","15435000","1581","1581","35",NO,"63",PRIMER,ALMAGRO,"5"
"SALGUERO, JERONIMO 800","32","138000","8694000","4312","4312","0",NO,"63",PRIMER,ALMAGRO,"5"
SANCHEZ DE BUSTAMANTE 500,"23","80000","5040000","3478","3478","25",SI,"63",PRIMER,ALMAGRO,"5"
SANCHEZ DE BUSTAMANTE 580,"23","75000","4725000","3261","3261","20",NO,"63",PRIMER,ALMAGRO,"5"
SANCHEZ DE LORIA 472,"106","165000","10395000","1557","1557","60",NO,"63",PRIMER,ALMAGRO,"5"
SANCHEZ DE LORIA 600,"617","650000","40950000","1053","1053","39",NO,"63",PRIMER,ALMAGRO,"5"
SANCHEZ DE LORIA 800,"210","110000","6930000","524","524","62",NO,"63",PRIMER,ALMAGRO,"5"
SARMIENTO 4500,"114","260000","16380000","2281","2281","0",NO,"63",PRIMER,ALMAGRO,"5"
TREINTA Y TRES ORIENTALES 700,"238","245000","15435000","1029","1029","0",NO,"63",PRIMER,ALMAGRO,"5"
VENEZUELA 3700,"450","750000","47250000","1667","1667","40",NO,"63",PRIMER,ALMAGRO,"5"
VENEZUELA 3937,"180","320000","20160000","1778","1778","0",NO,"63",PRIMER,ALMAGRO,"5"
VENEZUELA 4200,"40","89000","5607000","2225","2225","50",NO,"63",PRIMER,ALMAGRO,"5"
YAPEYU 100,"86","260000","16380000","3023","3023","0",NO,"63",PRIMER,ALMAGRO,"5"
YAPEYU 384,"55","82000","5166000","1491","1491","20",NO,"63",PRIMER,ALMAGRO,"5"
YATAY 1024,"30","139000","8757000","4633","4633","0",NO,"63",PRIMER,ALMAGRO,"5"
YATAY 200,"109","189000","11907000","1734","1734","40",NO,"63",PRIMER,ALMAGRO,"5"
"YRIGOYEN, HIPOLITO 3400","185","290000","18270000","1568","1568","45",NO,"63",PRIMER,ALMAGRO,"5"
"YRIGOYEN, HIPOLITO 3400","56","169500","10678500","3027","3027","40",NO,"63",PRIMER,ALMAGRO,"5"
"YRIGOYEN, HIPOLITO 4100","44","130000","8190000","2955","2955","70",NO,"63",PRIMER,ALMAGRO,"5"
24 DE NOVIEMBRE 200,"198","290000","18270000","1465","1465","70",NO,"63",PRIMER,BALVANERA,"3"
AGUERO 430,"102","165000","10395000","1618","1618","0",NO,"63",PRIMER,BALVANERA,"3"
AGUERO 446,"121","198000","12474000","1636","1636","43",NO,"63",PRIMER,BALVANERA,"3"
AGUERO 700,"45","124900","7868700","2776","2776","0",NO,"63",PRIMER,BALVANERA,"3"
AGUERO 800,"159","298000","18774000","1874","1874","60",NO,"63",PRIMER,BALVANERA,"3"
ALBERTI 200,"260","300000","18900000","1154","1154","100",NO,"63",PRIMER,BALVANERA,"3"
ALBERTI 300,"92","90000","5670000","978","978","0",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 1900","106","165000","10395000","1557","1557","40",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 2100","908","793000","49959000","873","873","12",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 2701","142","169000","10647000","1190","1190","0",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 2800","680","1100000","69300000","1618","1618","80",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 2800","35","100000","6300000","2857","2857","0",NO,"63",PRIMER,BALVANERA,"3"
"ALSINA, ADOLFO 2800","35","120000","7560000","3429","3429","0",NO,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 2","39","84000","5292000","2154","2154","60",SI,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 300","114","148700","9368100","1304","1304","48",SI,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 300","114","165000","10395000","1447","1447","0",SI,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 600","130","195000","12285000","1500","1500","50",SI,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 600","52","115000","7245000","2212","2212","45",NO,"63",PRIMER,BALVANERA,"3"
"ANCHORENA, TOMAS M. DE, DR 600","33","119900","7553700","3633","3633","1",SI,"63",PRIMER,BALVANERA,"3"
AYACUCHO 685,"55","105000","6615000","1909","1909","50",NO,"63",PRIMER,BALVANERA,"3"
AYACUCHO 800,"123","250000","15750000","2033","2033","50",NO,"63",PRIMER,BALVANERA,"3"
AZCUENAGA 300,"210","1430000","90090000","6810","6810","40",NO,"63",PRIMER,BALVANERA,"3"
AZCUENAGA 300,"200","1450000","91350000","7250","7250","45",NO,"63",PRIMER,BALVANERA,"3"
AZCUENAGA 400,"275","1100000","69300000","4000","4000","20",NO,"63",PRIMER,BALVANERA,"3"
AZCUENAGA 700,"115","160000","10080000","1391","1391","40",NO,"63",PRIMER,BALVANERA,"3"
AZCUENAGA 700,"127","180000","11340000","1417","1417","45",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 1900,"12","87000","5481000","7250","7250","80",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 2300,"455","699000","44037000","1536","1536","80",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 2400,"455","699000","44037000","1536","1536","80",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 2600,"67","280000","17640000","4179","4179","0",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 3200,"107","99000","6237000","925","925","62",NO,"63",PRIMER,BALVANERA,"3"
BELGRANO 3300,"280","500000","31500000","1786","1786","0",NO,"63",PRIMER,BALVANERA,"3"
BOULOGNE SUR MER 300,"140","250000","15750000","1786","1786","0",NO,"63",PRIMER,BALVANERA,"3"
BOULOGNE SUR MER 400,"123","355000","22365000","2886","2886","0",NO,"63",PRIMER,BALVANERA,"3"
CALLAO 700,"546","1300000","81900000","2381","2381","60",NO,"63",PRIMER,BALVANERA,"3"
CASTELLI 250,"60","275000","17325000","4583","4583","10",NO,"63",PRIMER,BALVANERA,"3"
COMBATE DE LOS POZOS 100,"88","160000","10080000","1818","1818","0",NO,"63",PRIMER,BALVANERA,"3"
COMBATE DE LOS POZOS 600,"30","90000","5670000","3000","3000","40",NO,"63",PRIMER,BALVANERA,"3"
CORDOBA 2600,"228","395000","24885000","1732","1732","0",NO,"63",PRIMER,BALVANERA,"3"
CORDOBA 2800,"205","390000","24570000","1902","1902","0",NO,"63",PRIMER,BALVANERA,"3"
CORDOBA 3100,"230","280000","17640000","1217","1217","0",NO,"63",PRIMER,BALVANERA,"3"
CORDOBA 3100,"120","1000000","63000000","8333","8333","0",NO,"63",PRIMER,BALVANERA,"3"
CORDOBA 3109,"250","310000","19530000","1240","1240","20",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2000,"280","770000","48510000","2750","2750","9",SI,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2000,"300","1300000","81900000","4333","4333","0",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2100,"45","59500","3748500","1322","1322","40",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2100,"46","76000","4788000","1652","1652","40",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2200,"300","1375000","86625000","4583","4583","0",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2300,"190","1050000","66150000","5526","5526","30",SI,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2457,"457","200000","12600000","438","438","40",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2500,"110","140000","8820000","1273","1273","40",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2500,"106","139000","8757000","1311","1311","0",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2500,"658","1800000","113400000","2736","2736","54",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 2600,"33","140000","8820000","4242","4242","0",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 3094,"70","360000","22680000","5143","5143","5",NO,"63",PRIMER,BALVANERA,"3"
CORRIENTES 3096,"87","360000","22680000","4138","4138","5",NO,"63",PRIMER,BALVANERA,"3"
DEAN FUNES 600,"174","230000","14490000","1322","1322","0",NO,"63",PRIMER,BALVANERA,"3"
ECUADOR 500,"180","250000","15750000","1389","1389","0",NO,"63",PRIMER,BALVANERA,"3"
ECUADOR 500,"287","260000","16380000","906","906","35",NO,"63",PRIMER,BALVANERA,"3"
ECUADOR 900,"72","110000","6930000","1528","1528","40",NO,"63",PRIMER,BALVANERA,"3"
ENTRE RIOS 700,"29","32000","2016000","1103","1103","0",NO,"63",PRIMER,BALVANERA,"3"
ENTRE RIOS 700,"30","35000","2205000","1167","1167","0",NO,"63",PRIMER,BALVANERA,"3"
ENTRE RIOS 700,"760","1000000","63000000","1316","1316","0",NO,"63",PRIMER,BALVANERA,"3"
ENTRE RIOS 700,"52","235000","14805000","4519","4519","0",NO,"63",PRIMER,BALVANERA,"3"
GALLO 800,"45","123000","7749000","2733","2733","0",NO,"63",PRIMER,BALVANERA,"3"
"GARDEL, CARLOS 3100","165","350000","22050000","2121","2121","3",NO,"63",PRIMER,BALVANERA,"3"
"GARDEL, CARLOS 3160","164","349000","21987000","2128","2128","2",NO,"63",PRIMER,BALVANERA,"3"
"GOMEZ, VALENTIN 2792","82","490000","30870000","5976","5976","30",NO,"63",PRIMER,BALVANERA,"3"
"GOMEZ, VALENTIN 3000","60","80000","5040000","1333","1333","0",NO,"63",PRIMER,BALVANERA,"3"
"GOMEZ, VALENTIN 3200","170","176500","11119500","1038","1038","40",NO,"63",PRIMER,BALVANERA,"3"
"JAURES, JEAN 252","100","115000","7245000","1150","1150","0",NO,"63",PRIMER,BALVANERA,"3"
"JAURES, JEAN 300","400","450000","28350000","1125","1125","0",NO,"63",PRIMER,BALVANERA,"3"
"JAURES, JEAN 332","105","120000","7560000","1143","1143","40",NO,"63",PRIMER,BALVANERA,"3"
"JAURES, JEAN 800","30","90000","5670000","3000","3000","0",NO,"63",PRIMER,BALVANERA,"3"
"JAURES, JEAN 800","18","69000","4347000","3833","3833","50",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 100,"35","120000","7560000","3429","3429","0",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 100,"35","140000","8820000","4000","4000","0",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 100,"1121","800000","50400000","714","714","0",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 300,"121","230000","14490000","1901","1901","0",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 500,"120","250000","15750000","2083","2083","25",NO,"63",PRIMER,BALVANERA,"3"
JUJUY 800,"58","115000","7245000","1983","1983","50",NO,"63",PRIMER,BALVANERA,"3"
JUNIN 100,"372","380000","23940000","1022","1022","40",NO,"63",PRIMER,BALVANERA,"3"
JUNIN 400,"730","1800000","113400000","2466","2466","0",NO,"63",PRIMER,BALVANERA,"3"
JUNIN 500,"670","930000","58590000","1388","1388","28",NO,"63",PRIMER,BALVANERA,"3"
JUNIN 600,"126","227000","14301000","1802","1802","45",NO,"63",PRIMER,BALVANERA,"3"
JUNIN 600,"512","1600000","100800000","3125","3125","40",NO,"63",PRIMER,BALVANERA,"3"
LA RIOJA 286,"153","308000","19404000","2013","2013","30",NO,"63",PRIMER,BALVANERA,"3"
LARREA 500,"159","490000","30870000","3082","3082","0",NO,"63",PRIMER,BALVANERA,"3"
LARREA 500,"120","750000","47250000","6250","6250","40",NO,"63",PRIMER,BALVANERA,"3"
LARREA 500,"125","1000000","63000000","8000","8000","0",NO,"63",PRIMER,BALVANERA,"3"
LAVALLE 2018,"50","165000","10395000","3300","3300","35",NO,"63",PRIMER,BALVANERA,"3"
LAVALLE 2168,"24","25000","1575000","1042","1042","60",NO,"63",PRIMER,BALVANERA,"3"
LAVALLE 3100,"500","1350000","85050000","2700","2700","0",NO,"63",PRIMER,BALVANERA,"3"
MATHEU 100,"240","300000","18900000","1250","1250","0",NO,"63",PRIMER,BALVANERA,"3"
MATHEU 760,"412","380000","23940000","922","922","0",SI,"63",PRIMER,BALVANERA,"3"
MEXICO 1800,"130","310000","19530000","2385","2385","50",NO,"63",PRIMER,BALVANERA,"3"
MEXICO 3300,"318","480000","30240000","1509","1509","34",NO,"63",PRIMER,BALVANERA,"3"
"MITRE, BARTOLOME 1834","1173","790000","49770000","673","673","94",NO,"63",PRIMER,BALVANERA,"3"
"MITRE, BARTOLOME 1900","1145","950000","59850000","830","830","0",NO,"63",PRIMER,BALVANERA,"3"
"MITRE, BARTOLOME 2100","498","750000","47250000","1506","1506","0",NO,"63",PRIMER,BALVANERA,"3"
"MITRE, BARTOLOME 2100","82","125000","7875000","1524","1524","75",NO,"63",PRIMER,BALVANERA,"3"
"MITRE, BARTOLOME 2200","180","650000","40950000","3611","3611","0",NO,"63",PRIMER,BALVANERA,"3"
MORENO 1900,"125","98000","6174000","784","784","50",NO,"63",PRIMER,BALVANERA,"3"
MORENO 2073,"70","115000","7245000","1643","1643","45",NO,"63",PRIMER,BALVANERA,"3"
PASCO 400,"32","64000","4032000","2000","2000","45",NO,"63",PRIMER,BALVANERA,"3"
PASO 400,"750","2850000","179550000","3800","3800","30",NO,"63",PRIMER,BALVANERA,"3"
PASO 600,"60","190000","11970000","3167","3167","30",NO,"63",PRIMER,BALVANERA,"3"
PASO 600,"130","495000","31185000","3808","3808","0",NO,"63",PRIMER,BALVANERA,"3"
PASO 627,"280","700000","44100000","2500","2500","0",NO,"63",PRIMER,BALVANERA,"3"
PASO 693,"84","280000","17640000","3333","3333","0",NO,"63",PRIMER,BALVANERA,"3"
PASTEUR 200,"190","690000","43470000","3632","3632","50",NO,"63",PRIMER,BALVANERA,"3"
PASTEUR 346,"55","165000","10395000","3000","3000","40",NO,"63",PRIMER,BALVANERA,"3"
PASTEUR 700,"48","180000","11340000","3750","3750","60",NO,"63",PRIMER,BALVANERA,"3"
PASTEUR 88,"150","590000","37170000","3933","3933","20",NO,"63",PRIMER,BALVANERA,"3"
"PERON, JUAN DOMINGO, TTE. 1900","103","89000","5607000","864","864","30",NO,"63",PRIMER,BALVANERA,"3"
PICHINCHA 500,"193","250000","15750000","1295","1295","0",NO,"63",PRIMER,BALVANERA,"3"
PICHINCHA 800,"84","140000","8820000","1667","1667","40",NO,"63",PRIMER,BALVANERA,"3"
PUEYRREDON 600,"225","1500000","94500000","6667","6667","0",NO,"63",PRIMER,BALVANERA,"3"
PUEYRREDON 631,"135","560000","35280000","4148","4148","70",NO,"63",PRIMER,BALVANERA,"3"
PUEYRREDON 700,"175","650000","40950000","3714","3714","40",NO,"63",PRIMER,BALVANERA,"3"
PUEYRREDON 800,"240","1000000","63000000","4167","4167","0",NO,"63",PRIMER,BALVANERA,"3"
PUEYRREDON 870,"330","990000","62370000","3000","3000","0",NO,"63",PRIMER,BALVANERA,"3"
RINCON 100,"109","234000","14742000","2147","2147","0",NO,"63",PRIMER,BALVANERA,"3"
RINCON 100,"32","80000","5040000","2500","2500","0",NO,"63",PRIMER,BALVANERA,"3"
RINCON 101,"30","65000","4095000","2167","2167","40",SI,"63",PRIMER,BALVANERA,"3"
RINCON 101,"30","73000","4599000","2433","2433","20",NO,"63",PRIMER,BALVANERA,"3"
RINCON 444,"47","75000","4725000","1596","1596","50",NO,"63",PRIMER,BALVANERA,"3"
RINCON 700,"61","107000","6741000","1754","1754","50",NO,"63",PRIMER,BALVANERA,"3"
RINCON 89,"109","105000","6615000","963","963","43",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 2100,"236","590000","37170000","2500","2500","0",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 2700,"200","270000","17010000","1350","1350","40",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 2900,"238","650000","40950000","2731","2731","40",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 3000,"140","390000","24570000","2786","2786","20",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 3000,"140","395000","24885000","2821","2821","35",NO,"63",PRIMER,BALVANERA,"3"
RIVADAVIA 3200,"90","250000","15750000","2778","2778","0",NO,"63",PRIMER,BALVANERA,"3"
SAAVEDRA 100,"50","89000","5607000","1780","1780","35",NO,"63",PRIMER,BALVANERA,"3"
SAAVEDRA 300,"125","160000","10080000","1280","1280","50",NO,"63",PRIMER,BALVANERA,"3"
SAN LUIS 2400,"34","59500","3748500","1750","1750","45",NO,"63",PRIMER,BALVANERA,"3"
SAN LUIS 3100,"98","210000","13230000","2143","2143","50",NO,"63",PRIMER,BALVANERA,"3"
SARMIENTO 1940,"125","290000","18270000","2320","2320","35",NO,"63",PRIMER,BALVANERA,"3"
SARMIENTO 2000,"110","179000","11277000","1627","1627","30",NO,"63",PRIMER,BALVANERA,"3"
SARMIENTO 2400,"260","1750000","110250000","6731","6731","40",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2100,"140","265000","16695000","1893","1893","50",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2200,"95","180000","11340000","1895","1895","50",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2200,"52","180000","11340000","3462","3462","0",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2300,"207","580000","36540000","2802","2802","50",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2500,"90","300000","18900000","3333","3333","0",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 2700,"173","259000","16317000","1497","1497","55",NO,"63",PRIMER,BALVANERA,"3"
TUCUMAN 3300,"47","117500","7402500","2500","2500","0",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 100,"85","355000","22365000","4176","4176","0",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 200,"95","420000","26460000","4421","4421","0",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 252,"65","420000","26460000","6462","6462","50",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 500,"50","99000","6237000","1980","1980","0",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 500,"50","100000","6300000","2000","2000","0",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 600,"69","195000","12285000","2826","2826","60",NO,"63",PRIMER,BALVANERA,"3"
URIBURU 85,"65","120000","7560000","1846","1846","0",NO,"63",PRIMER,BALVANERA,"3"
"URQUIZA, Gral. 200","500","1200000","75600000","2400","2400","0",NO,"63",PRIMER,BALVANERA,"3"
"URQUIZA, Gral. 50","290","299000","18837000","1031","1031","40",NO,"63",PRIMER,BALVANERA,"3"
"URQUIZA, Gral. 600","295","450000","28350000","1525","1525","0",NO,"63",PRIMER,BALVANERA,"3"
"URQUIZA, Gral. 700","46","98000","6174000","2130","2130","63",NO,"63",PRIMER,BALVANERA,"3"
VENEZUELA 1834,"180","180000","11340000","1000","1000","40",NO,"63",PRIMER,BALVANERA,"3"
VENEZUELA 1902,"250","400000","25200000","1600","1600","50",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2100,"109","330000","20790000","3028","3028","0",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2100,"144","450000","28350000","3125","3125","0",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2300,"200","250000","15750000","1250","1250","40",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2600,"190","295000","18585000","1553","1553","0",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2600,"240","390000","24570000","1625","1625","0",NO,"63",PRIMER,BALVANERA,"3"
VIAMONTE 2917,"198","200000","12600000","1010","1010","0",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 1900","192","300000","18900000","1562","1562","0",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 2400","23","80000","5040000","3478","3478","25",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 2500","150","180000","11340000","1200","1200","85",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 2900","782","1349000","84987000","1725","1725","0",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 3100","265","395000","24885000","1491","1491","0",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 3100","36","179000","11277000","4972","4972","0",NO,"63",PRIMER,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 3199","178","345000","21735000","1938","1938","0",NO,"63",PRIMER,BALVANERA,"3"
